ID	对应的模板Id	方块ID	方块子ID	数量
id	drawingId	blockId	meta	num
1	1	1	0	228
2	1	4	0	6
3	1	5	0	77
4	1	5	2	99
5	1	5	3	24
6	1	65	0	5
7	1	102	0	22
8	1	135	0	4
9	1	136	0	207
10	2	5	2	248
11	2	5	4	492
12	2	24	0	32
13	2	24	1	272
14	2	44	1	67
15	2	98	0	8
16	2	102	0	25
17	2	126	4	4
18	2	128	0	341
19	2	135	0	33
20	3	5	0	15
21	3	5	2	511
22	3	5	4	46
23	3	20	0	15
24	3	24	0	540
25	3	85	0	14
26	3	98	0	6
27	3	102	0	115
28	3	126	4	68
29	3	135	0	381
30	4	1	0	763
31	4	5	2	288
32	4	5	5	32
33	4	12	0	179
34	4	24	0	2
35	4	24	1	276
36	4	35	0	62
37	4	44	7	22
38	4	44	1	8
39	4	44	7	90
40	4	45	0	16
41	4	85	0	6
42	4	89	0	9
43	4	98	0	2
44	4	102	0	10
45	4	112	0	3
46	4	114	0	354
47	4	126	2	2
48	4	128	0	22
49	4	135	0	18
50	4	139	0	10
51	4	155	0	4
52	4	156	0	18
53	5	1	0	28
54	5	5	2	422
55	5	5	5	519
56	5	20	0	185
57	5	35	0	455
58	5	44	7	5
59	5	65	0	4
60	5	98	0	20
61	5	102	0	57
62	5	126	2	9
63	5	135	0	32
64	5	155	0	1
65	6	44	5	53
66	6	72	0	1
67	6	85	0	27
68	6	89	0	1
69	6	98	0	53
70	6	98	3	1
71	6	109	0	40
72	6	251	14	20
73	7	5	3	47
74	7	17	3	73
75	7	18	0	175
76	7	65	0	11
77	7	89	0	7
78	7	126	3	14
79	7	162	1	87
80	8	2	0	6
81	8	5	0	41
82	8	5	2	15
83	8	17	0	32
84	8	30	0	3
85	8	38	0	6
86	8	50	5	2
87	8	53	0	53
88	8	65	0	4
89	8	85	0	14
90	8	98	0	19
91	8	102	0	18
92	8	126	0	22
93	8	126	2	18
94	8	135	0	2
95	9	35	0	42
96	9	35	1	78
97	9	35	2	72
98	9	35	3	20
99	9	35	4	20
100	9	35	5	24
101	9	35	6	20
102	9	53	0	2
103	9	65	0	4
104	9	72	0	2
105	9	85	0	12
106	9	155	0	10
107	9	156	0	7
108	9	251	0	60
109	9	251	7	61
110	10	5	2	25
111	10	5	5	16
112	10	44	5	22
113	10	85	0	12
114	10	89	0	4
115	10	98	0	193
116	10	109	0	60
117	10	126	2	37
118	10	126	5	10
119	10	135	0	1
120	10	160	4	72
121	10	160	5	43
122	10	164	0	30
123	11	2	0	6
124	11	5	2	32
125	11	65	0	6
126	11	126	2	5
127	11	126	5	12
128	11	155	0	279
129	11	156	0	9
130	11	159	7	30
131	11	159	9	37
132	11	160	7	128
133	12	35	0	107
134	12	35	1	22
135	12	35	2	17
136	12	35	3	11
137	12	35	4	22
138	12	35	11	11
139	12	35	13	22
140	12	35	14	22
141	12	89	0	7
142	13	5	0	53
143	13	5	1	12
