ID	对应的模板Id	方块ID	方块子ID	数量
id	drawingId	blockId	meta	num
1	1	1	0	228
2	1	4	0	6
3	1	5	0	77
4	1	5	2	99
5	1	5	3	24
6	1	65	0	5
7	1	102	0	22
8	1	135	0	4
9	1	136	0	96
10	2	5	2	248
11	2	5	4	492
12	2	24	0	32
13	2	24	1	272
14	2	44	1	67
15	2	98	0	8
16	2	102	0	25
17	2	126	4	4
18	2	128	0	108
19	2	135	0	4
20	3	5	0	15
21	3	5	2	511
22	3	5	4	46
23	3	20	0	15
24	3	24	0	540
25	3	85	0	14
26	3	98	0	6
27	3	102	0	115
28	3	126	4	68
29	3	135	0	117
30	4	1	0	763
31	4	5	2	288
32	4	5	5	32
33	4	12	0	179
34	4	24	0	2
35	4	24	1	276
36	4	35	0	62
37	4	44	7	22
38	4	44	1	8
39	4	45	0	16
40	4	85	0	6
41	4	89	0	9
42	4	98	0	2
43	4	102	0	10
44	4	112	0	3
45	4	114	0	113
46	4	126	2	2
47	4	128	0	22
48	4	135	0	4
49	4	139	0	10
50	4	155	0	4
51	4	156	0	4
52	5	1	0	28
53	5	5	2	422
54	5	5	5	519
55	5	20	0	185
56	5	35	0	455
57	5	44	7	5
58	5	65	0	4
59	5	98	0	20
60	5	102	0	57
61	5	126	2	9
62	5	135	0	14
63	5	155	0	1
64	6	44	5	20
65	6	44	5	33
66	6	72	0	1
67	6	85	0	27
68	6	89	0	1
69	6	98	0	53
70	6	98	3	1
71	6	109	0	10
72	6	251	14	20
73	7	5	3	47
74	7	17	3	2
75	7	18	0	175
76	7	65	0	2
77	7	89	0	7
78	7	126	3	6
79	7	162	1	64
80	8	2	0	6
81	8	5	0	41
82	8	5	2	15
83	8	17	0	16
84	8	30	0	3
85	8	38	0	6
86	8	50	5	2
87	8	53	0	27
88	8	65	0	4
89	8	85	0	14
90	8	98	0	19
91	8	102	0	18
92	8	126	0	22
93	8	126	2	18
94	8	135	0	1
95	9	2	0	2
96	9	5	0	46
97	9	5	2	34
98	9	17	0	16
99	9	38	0	2
100	9	45	0	93
101	9	85	0	44
102	9	102	0	89
103	9	108	0	3
104	9	126	0	70
105	9	126	2	30
106	9	135	0	5
107	10	5	2	25
108	10	5	5	16
109	10	44	5	8
110	10	85	0	12
111	10	89	0	4
112	10	98	0	193
113	10	109	0	10
114	10	126	2	9
115	10	126	5	10
116	10	135	0	1
117	10	160	4	72
118	10	160	5	43
119	10	164	0	15
120	11	2	0	6
121	11	5	2	32
122	11	65	0	6
123	11	126	2	5
124	11	126	5	12
125	11	155	0	279
126	11	156	0	9
127	11	159	7	30
128	11	159	9	37
129	11	160	7	128
130	12	35	0	8
131	12	35	1	11
132	12	35	2	22
133	12	35	3	22
134	12	35	4	22
135	12	35	5	75
136	12	35	6	22
137	12	35	7	17
138	12	35	14	18
139	12	35	15	17
140	12	89	0	7
141	13	5	0	53
142	13	5	1	12
143	13	5	2	34
