	ItemId	Name	Desc	Icon	Length	Width	Height	Template	MeshName
中文备注	手持道具Id(2101~2115)	多语言名称	多语言描述	对应Item图标	长	宽	高	房子模板	模型名称
1	2118	drawing_name_18	123	building_32_13	11	11	8	build_13_11x11x8-0.schematic	blueprint.mesh
	2112	drawing_name_12	123	building_32_07	11	11	8	build_07_11x11x8-1.schematic	blueprint.mesh
	2106	drawing_name_6	123	building_32_01	9	9	10	build_01_9x9x10-0.schematic	blueprint.mesh
	2117	drawing_name_17	123	building_32_12	11	11	10	build_12_11x11x10-1.schematic	blueprint.mesh
	2108	drawing_name_8	123	building_32_03	9	9	13	build_03_9x9x13-1.schematic	blueprint.mesh
	2109	drawing_name_9	123	building_32_04	11	11	12	build_04_11x11x12-1.schematic	blueprint.mesh
	2113	drawing_name_13	123	building_32_08	11	11	13	build_08_11x11x13-1.schematic	blueprint.mesh
	2111	drawing_name_11	123	building_32_06	11	11	14	build_06_11x11x14-1.schematic	blueprint.mesh
	2110	drawing_name_10	123	building_32_05	11	11	20	build_05_11x11x20-1.schematic	blueprint.mesh
	2107	drawing_name_7	123	building_32_02	11	11	23	build_02_11x11x23-0.schematic	blueprint.mesh
	2114	drawing_name_14	123	building_32_09	11	11	14	build_09_11x11x14-1.schematic	blueprint.mesh
	2101	drawing_name_1	123	town_32_01	16	16	11	Town_01_16x16x11-1.schematic	blueprint.mesh
	2115	drawing_name_15	123	building_32_10	21	21	10	build_10_21x21x10-1.schematic	blueprint.mesh
	2116	drawing_name_16	123	building_32_11	16	16	14	build_11_16x16x14-0.schematic	blueprint.mesh
	2102	drawing_name_2	123	town_32_02	19	19	17	Town_02_19x19x17-1.schematic	blueprint.mesh
	2105	drawing_name_5	123	town_32_05	17	17	24	Town_05_17x17x24-1.schematic	blueprint.mesh
	2103	drawing_name_3	123	town_32_03	21	21	14	Town_03_21x21x14-1.schematic	blueprint.mesh
	2104	drawing_name_4	123	town_32_04	20	20	22	Town_04_20x20x22-0.schematic	blueprint.mesh
	2121	drawing_name_21	123	landscape_32_03	1	1	5	Landscape_03_1x1x5-0.schematic	blueprint.mesh
	2120	drawing_name_20	123	landscape_32_02	3	3	5	Landscape_02_3x3x5-0.schematic	blueprint.mesh
	2125	drawing_name_25	123	landscape_32_07	2	2	8	Landscape_07_2x2x8-0.schematic	blueprint.mesh
	2124	drawing_name_24	123	landscape_32_06	3	3	4	Landscape_06_3x3x4-0.schematic	blueprint.mesh
	2128	drawing_name_28	123	landscape_32_10	5	5	7	Landscape_10_5x5x7-0.schematic	blueprint.mesh
	2127	drawing_name_27	123	landscape_32_09	5	5	6	Landscape_09_5x5x6-0.schematic	blueprint.mesh
	2122	drawing_name_22	123	landscape_32_04	5	5	2	Landscape_04_5x5x2-1.schematic	blueprint.mesh
	2123	drawing_name_23	123	landscape_32_05	5	5	4	Landscape_05_5x5x4-0.schematic	blueprint.mesh
	2126	drawing_name_26	123	landscape_32_08	7	7	11	Landscape_08_7x7x11-1.schematic	blueprint.mesh
	2119	drawing_name_19	123	landscape_32_01	9	9	15	Landscape_01_9x9x15-0.schematic	blueprint.mesh
